,date,text,hashtags
14654,Sun Mar 18 18:07:15 +0000 2018,Vladimir Poutine est réélu !  longue vie à Poutine #Elections2018 #Poutine,"['Elections2018', 'Poutine']"
14662,Sun Mar 18 18:07:14 +0000 2018,@YvesPDB C'est minable ! Mais les Russes s'en tapent des rédactions parisiennes. Ca fait bien longtemps qu'ils savent a quoi s'en tenir,
14663,Sun Mar 18 18:07:14 +0000 2018,Merkel bourre pas les urnes et n'assassine pas ses opposants mdr https://t.co/Wiv6K6oGMi,
14667,Sun Mar 18 18:07:12 +0000 2018," ALERTE - Sans surprise, Vladimir Poutine  réélu à la tête de la Russie avec 73,9 % des suffrages selon les premiers résultats https://t.co/OIfoVYsTDu",
14669,Sun Mar 18 18:07:12 +0000 2018," ALERTE - Sans surprise, Vladimir Poutine  réélu à la tête de la Russie avec 73,9 % des suffrages selon les premiers résultats https://t.co/eYaVJpKk48",
14672,Sun Mar 18 18:07:11 +0000 2018,"Donc 83,9% après le dépouillement... https://t.co/GSJrNL6jR4",
14676,Sun Mar 18 18:07:10 +0000 2018,"#Election en #Russie Le président russe Vladimir Poutine est réélu pour un quatrième mandat avec 73,9% des voix...","['Election', 'Russie']"
14688,Sun Mar 18 18:07:43 +0000 2018,"@gucciIova tabuse ptdrrr, toi et le russe ossi",
14691,Sun Mar 18 18:07:41 +0000 2018,La télévision russe montre des images de Gérard Depardieu votant dans l'ambassade de Russie en France,
14699,Sun Mar 18 18:07:39 +0000 2018,"Vladimir Poutine c'est moi jouant à CIV. J'écrase tout le monde en mangeant des chips derrière mon bureau.

Ps : je suis allergique au poison.

Ps du ps : Quitte à mourir autant mourir avec une allergie.",
14700,Sun Mar 18 18:07:38 +0000 2018,#Poutine réélu.. Bravo !!!!!! https://t.co/diZ2lYibMw,['Poutine']
14701,Sun Mar 18 18:07:38 +0000 2018,"@guyalepage Gérard Depardieu lui, y est allé, un peu excédé par les journalistes : https://t.co/B0ccwDdRDU",
14702,Sun Mar 18 18:07:38 +0000 2018,"ALERTE - Poutine réélu pour un 4e mandat avec 73,9% des voix (sondage sortie des urnes) https://t.co/M6JO9qyTTg",
14703,Sun Mar 18 18:07:38 +0000 2018,"#Poutine réélu pour un 4e mandat avec 73,9% des voix (sondage sortie des urnes) https://t.co/ODMHqYhUUC",['Poutine']
14706,Sun Mar 18 18:07:34 +0000 2018,"le seuil de pauvreté était à 37,2% du revenu moyen, alors qu’il est tombé en 2011 à 30,8%, et le nombre de personnes vivant au-dessous de ce seuil, qui était de 21% en 2005, est passé en 2011 à 12%
Quel bilan catastrophique !
https://t.co/4rsIrQHK6e",
